Primary Parameters,Joist,Truss,Multi
CONNECTION TYPE,,,Yes
Connection Type,,,Multi-Truss (Flush Bottom)
,,,
JOB SETTINGS,,,Yes
Hanger Type,,,All Types
Fastener Type,,,All Types
Configuration,,,
ANSI/TPI 1 Evaluation,,,No
Download Duration,,,Floor (CD=1.0)
Uplift Duration,,,Wind / Seismic (CD=1.6)
Job ID,,,J06A
Quantity,,,3
,,,
HEADER / GIRDER (CARRYING MEMBER),,,Yes
Member Type,,,
Type,,,
Lumber Species,,,
Width,,,
Bottom Chord Width,,,
Depth,,,
Bottom Chord Height,,,
Number of Plies,,,
Vertical Width (King Post),,,
Total Height,,,
Member ID,,,
Lumber Finish,,,
,,,
JOIST / TRUSS / JACK (CARRIED MEMBER),,,Yes
Member Type,,,Truss — SP
Lumber Species,,,SP
Width,,,1.5
Bottom Chord Width,,,1.5
Heel Height,,,6.16
Depth,,,3.5
Number of Plies,,,1
Member ID,,,J06A
Download (ASD),,,214
Upload (ASD),,,51
Slope (Degrees),,,27.2
Lumber Finish,,,Rough Sawn
,,,
LEFT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
RIGHT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
HANGER OPTIONS,,,
Skew,,,
Slope,,,
Top Flange Bend,,,
Top Flange Slope,,,
Offset Direction (Top Flange Only),,,
"High, Low, Center Flush",,,
