Primary Parameters,Joist,Truss,Multi
CONNECTION TYPE,Yes,Yes,Yes
Connection Type,Joist (Flush Top),Truss (Flush Bottom),Multi-Truss (Flush Bottom)
,,,
JOB SETTINGS,Yes,Yes,Yes
Hanger Type,All Types,All Types,All Types
Fastener Type,All Types,All Types,All Types
Configuration,,,Left + Center + Right
ANSI/TPI 1 Evaluation,,No,No
Download Duration,Floor / standard (CD=1.0),Floor / standard (CD=1.0),Floor / standard (CD=1.0)
Uplift Duration,Wind / seismic (CD=1.6),Wind / seismic (CD=1.6),Wind / seismic (CD=1.6)
Job ID,T10,T10,T10
Quantity,2,2,2
,,,
HEADER / GIRDER (CARRYING MEMBER),Yes,Yes,Yes
Member Type,Solid Sawn — SP,Truss — SP,Truss — SP
Type,,Truss,Truss
Lumber Species,SP,SP,SP
Width,1.5,1.5,1.5
Bottom Chord Width,,1.5,1.5
Depth,3.5,3.5,3.5
Bottom Chord Height,,3.94,3.94
Number of Plies,2,2,2
Vertical Width (King Post),,1.5,1.5
Total Height,,83.7727,83.7727
Member ID,T10,T10,T10
Lumber Finish,Rough Sawn,Rough Sawn,Rough Sawn
,,,
JOIST / TRUSS / JACK (CARRIED MEMBER),Yes,Yes,Yes
Member Type,Solid Sawn — SP,Truss — SP,
Lumber Species,SP,SP,
Width,1.5,1.5,
Bottom Chord Width,,1.5,
Heel Height,,3.94,
Depth,5.5,3.94,
Number of Plies,2,2,
Member ID,T10,T10,
Download (ASD),3158,3158,
Upload (ASD),695,695,
Slope (Degrees),,,
Lumber Finish,Rough Sawn,Rough Sawn,
,,,
LEFT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,Truss — SP
Lumber Species (Controlled by Jack inputs),,,SP
Bottom Chord Width,,,1.5
Heel Height,,,7.94
Number of Plies,,,1
Member ID,,,T08
Download (ASD),,,390
Uplift (ASD),,,276
Skew (Degrees),,,270
Slope (Degrees),,,33.5
,,,
RIGHT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,Truss — SP
Lumber Species (Controlled by Jack inputs),,,SP
Bottom Chord Width,,,1.5
Heel Height,,,10.61
Number of Plies,,,1
Member ID,,,T09A
Download (ASD),,,384
Uplift (ASD),,,272
Skew (Degrees),,,270
Slope (Degrees),,,33.5
,,,
HANGER OPTIONS,Yes,Yes,
Skew,0,0,
Slope,18.2,18.2,
Top Flange Bend,,,
Top Flange Slope,,,
Offset Direction (Top Flange Only),,,
"High, Low, Center Flush",,,
