Primary Parameters,Joist,Truss,Multi
CONNECTION TYPE,Yes,Yes,Yes
Connection Type,Joist (Flush Top),Truss (Flush Bottom),Multi-Truss (Flush Bottom)
,,,
JOB SETTINGS,Yes,Yes,Yes
Hanger Type,All Types,All Types,All Types
Fastener Type,All Types,All Types,All Types
Configuration,,,
ANSI/TPI 1 Evaluation,,No,No
Download Duration,Floor (CD=1.0),Floor (CD=1.0),Floor (CD=1.0)
Uplift Duration,Wind / Seismic (CD=1.6),Wind / Seismic (CD=1.6),Wind / Seismic (CD=1.6)
Job ID,T16GE,T16GE,T16GE
Quantity,1,1,1
,,,
HEADER / GIRDER (CARRYING MEMBER),Yes,Yes,Yes
Member Type,,,
Type,,,
Lumber Species,,,
Width,,,
Bottom Chord Width,,,
Depth,,,
Bottom Chord Height,,,
Number of Plies,,,
Vertical Width (King Post),,,
Total Height,,,
Member ID,,,
Lumber Finish,,,
,,,
JOIST / TRUSS / JACK (CARRIED MEMBER),Yes,Yes,Yes
Member Type,Solid Sawn — SP,Truss — SP,Truss — SP
Lumber Species,SP,SP,SP
Width,1.5,1.5,1.5
Bottom Chord Width,,1.5,1.5
Heel Height,,6.19,6.19
Depth,3.5,6.19,6.19
Number of Plies,1,1,1
Member ID,T16GE,T16GE,T16GE
Download (ASD),130,130,130
Upload (ASD),19,19,19
Slope (Degrees),,,27.3
Lumber Finish,Rough Sawn,Rough Sawn,Rough Sawn
,,,
LEFT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
RIGHT HIP (CARRIED MEMBER),,,Yes
Member Type (Controlled by Jack inputs),,,
Lumber Species (Controlled by Jack inputs),,,
Bottom Chord Width,,,
Heel Height,,,
Number of Plies,,,
Member ID,,,
Download (ASD),,,
Uplift (ASD),,,
Skew (Degrees),,,
Slope (Degrees),,,
,,,
HANGER OPTIONS,Yes,Yes,
Skew,0,0,
Slope,27.3,27.3,
Top Flange Bend,,,
Top Flange Slope,,,
Offset Direction (Top Flange Only),,,
"High, Low, Center Flush",,,
