Primary Parameters,Joist,Truss,Multi
,,,
CONNECTION TYPE,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Connection Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
JOB SETTINGS,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Hanger Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Fastener Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Configuration,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
ANSI/TPI 1 Evaluation,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Download Duration,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Uplift Duration,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Job ID,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Quantity,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
HEADER / GIRDER (CARRYING MEMBER),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Member Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Lumber Species,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Width,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Bottom Chord Width,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Depth,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Bottom Chord Height,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Number of Plies,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Vertical Width (King Post),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Total Height,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Member ID,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Lumber Finish,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
JOIST / TRUSS / JACK (CARRIED MEMBER),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Member Type,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Lumber Species,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Width,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Bottom Chord Width,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Heel Height,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Depth,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Number of Plies,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Member ID,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Download (ASD),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Upload (ASD),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Slope (Degrees),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Lumber Finish,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
,update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
LEFT HIP (CARRIED MEMBER),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Member Type (Controlled by Jack inputs),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
Lumber Species (Controlled by Jack inputs),update this value with your caculation data in tre file,update this value with your caculation data in tre file,update this value with your caculation data in tre file
